from,to,time_step,flow
BEL,NED,1,-3400.0
BEL,NED,2,-3400.0
BEL,NED,3,-3400.0
BEL,NED,4,-2261.485025
BEL,NED,5,-1942.7841289999997
BEL,NED,6,-1846.692147
BEL,NED,7,-1829.5893579999997
BEL,NED,8,-1474.1272069999998
BEL,NED,9,-1119.175813
BEL,NED,10,-641.499468
BEL,NED,11,-614.8932920000001
BEL,NED,12,-433.79558199999974
BEL,NED,13,-382.09254400000077
BEL,NED,14,-438.0460300000001
BEL,NED,15,-576.1142579999998
BEL,NED,16,-842.7801439999992
BEL,NED,17,-963.0482210000007
BEL,NED,18,-1511.5015069999995
BEL,NED,19,-1625.1847729999995
BEL,NED,20,-1459.8481199999997
BEL,NED,21,-1150.9240170000003
BEL,NED,22,-929.3140569999998
BEL,NED,23,-1315.0020540000003
BEL,NED,24,-1415.012014
BEL,NED,25,-840.4697339999996
BEL,NED,26,-333.64368900000045
BEL,NED,27,141.6650749999999
BEL,NED,28,417.06736499999965
BEL,NED,29,435.4638789999997
BEL,NED,30,108.72040300000026
BEL,NED,31,-481.80738500000007
BEL,NED,32,-861.6515570000001
BEL,NED,33,-1739.9258589999993
BEL,NED,34,-2359.713856
BEL,NED,35,-3400.0
BEL,NED,36,-3400.0
BEL,NED,37,-3400.0
BEL,NED,38,-1992.7384069999998
BEL,NED,39,-1758.7842740000006
BEL,NED,40,-2106.9190849999995
BEL,NED,41,-3400.0
BEL,NED,42,-3400.0
BEL,NED,43,-3400.0
BEL,NED,44,-3400.0
BEL,NED,45,-3400.0
BEL,NED,46,-3400.0
BEL,NED,47,-3400.0
BEL,NED,48,-3400.0
BEL,NED,49,-3400.0
BEL,NED,50,-3400.0
BEL,NED,51,-2342.3780520000005
BEL,NED,52,-2021.3211309999997
BEL,NED,53,-2073.641549
BEL,NED,54,-2263.018342
BEL,NED,55,-2527.1991679999996
BEL,NED,56,-2543.4281520000004
BEL,NED,57,-3400.0
BEL,NED,58,-3400.0
BEL,NED,59,-3400.0
BEL,NED,60,-3400.0
BEL,NED,61,-3400.0
BEL,NED,62,-3400.0
BEL,NED,63,-3400.0
BEL,NED,64,-3400.0
BEL,NED,65,-3400.0
BEL,NED,66,-3400.0
BEL,NED,67,-3400.0
BEL,NED,68,-3400.0
BEL,NED,69,-3400.0
BEL,NED,70,-3400.0
BEL,NED,71,-3400.0
BEL,NED,72,-3400.0
BEL,NED,73,-3400.0
BEL,NED,74,-3400.0
BEL,NED,75,-3400.0
BEL,NED,76,-2556.309975
BEL,NED,77,-2352.938063
BEL,NED,78,-2175.504547
BEL,NED,79,-2371.2141579999998
BEL,NED,80,-3259.5649550000003
BEL,NED,81,-3400.0
BEL,NED,82,-3400.0
BEL,NED,83,-3400.0
BEL,NED,84,-3400.0
BEL,NED,85,-3400.0
BEL,NED,86,-3400.0
BEL,NED,87,-3400.0
BEL,NED,88,-3400.0
BEL,NED,89,-3400.0
BEL,NED,90,-3400.0
BEL,NED,91,-3400.0
BEL,NED,92,-3400.0
BEL,NED,93,-3400.0
BEL,NED,94,-3400.0
BEL,NED,95,-3400.0
BEL,NED,96,-3400.0
BEL,NED,97,-3400.0
BEL,NED,98,-3400.0
BEL,NED,99,-3400.0
BEL,NED,100,-3400.0
BEL,NED,101,-3400.0
BEL,NED,102,-3400.0
BEL,NED,103,-3400.0
BEL,NED,104,-3400.0
BEL,NED,105,-3400.0
BEL,NED,106,-3400.0
BEL,NED,107,-3400.0
BEL,NED,108,-3400.0
BEL,NED,109,-3400.0
BEL,NED,110,-3400.0
BEL,NED,111,-3400.0
BEL,NED,112,-3400.0
BEL,NED,113,-3400.0
BEL,NED,114,-3400.0
BEL,NED,115,-3400.0
BEL,NED,116,-3400.0
BEL,NED,117,-3400.0
BEL,NED,118,-3400.0
BEL,NED,119,-3400.0
BEL,NED,120,-3400.0
BEL,NED,121,-3400.0
BEL,NED,122,-3400.0
BEL,NED,123,-3400.0
BEL,NED,124,-3400.0
BEL,NED,125,-3400.0
BEL,NED,126,-3400.0
BEL,NED,127,-3400.0
BEL,NED,128,-3400.0
BEL,NED,129,-3400.0
BEL,NED,130,-3400.0
BEL,NED,131,-3400.0
BEL,NED,132,-3400.0
BEL,NED,133,-3400.0
BEL,NED,134,-3400.0
BEL,NED,135,-3400.0
BEL,NED,136,-3400.0
BEL,NED,137,-3400.0
BEL,NED,138,-3400.0
BEL,NED,139,-3400.0
BEL,NED,140,-3400.0
BEL,NED,141,-3400.0
BEL,NED,142,-3400.0
BEL,NED,143,-3400.0
BEL,NED,144,-3400.0
BEL,NED,145,-3400.0
BEL,NED,146,-3400.0
BEL,NED,147,-3400.0
BEL,NED,148,-3400.0
BEL,NED,149,-3400.0
BEL,NED,150,-3400.0
BEL,NED,151,-3400.0
BEL,NED,152,-3400.0
BEL,NED,153,-3400.0
BEL,NED,154,-3400.0
BEL,NED,155,-3400.0
BEL,NED,156,-3400.0
BEL,NED,157,-3400.0
BEL,NED,158,-3400.0
BEL,NED,159,-3400.0
BEL,NED,160,-3400.0
BEL,NED,161,-3400.0
BEL,NED,162,-3400.0
BEL,NED,163,-3400.0
BEL,NED,164,-3400.0
BEL,NED,165,-3400.0
BEL,NED,166,-3400.0
BEL,NED,167,-3400.0
BEL,NED,168,-3400.0
BEL,NED,169,-3400.0
BEL,NED,170,-2360.122869
BEL,NED,171,-1890.6504099999997
BEL,NED,172,-1637.3484679999995
BEL,NED,173,-1664.8481199999994
BEL,NED,174,-2129.5987660000005
BEL,NED,175,-3400.0
BEL,NED,176,-3400.0
BEL,NED,177,-3400.0
BEL,NED,178,-3400.0
BEL,NED,179,-3400.0
BEL,NED,180,-3400.0
BEL,NED,181,-3400.0
BEL,NED,182,-3400.0
