from,to,time_step,flow
l0,l8,63,3000.0
l0,l8,64,3000.0
l0,l8,65,3000.0
l0,l8,66,3000.0
l0,l8,67,3000.0
l0,l8,68,3000.0
l0,l8,69,3000.0
l0,l8,70,3000.0
l0,l8,71,3000.0
l0,l8,72,3000.0
l0,l8,73,3000.0
l0,l8,74,3000.0
l0,l8,75,3000.0
l0,l8,76,3000.0
l0,l8,77,3000.0
l0,l8,78,3000.0
l0,l8,79,3000.0
l0,l8,80,3000.0
l0,l8,81,3000.0
l0,l8,82,3000.0
l0,l8,83,3000.0
l0,l8,84,3000.0
l0,l8,85,3000.0
l0,l8,86,3000.0
l0,l8,87,3000.0
l0,l8,88,3000.0
l0,l8,89,3000.0
l0,l8,90,3000.0
l0,l8,91,3000.0
l0,l8,92,3000.0
l0,l8,93,3000.0
l0,l8,94,3000.0
l0,l8,95,3000.0
l0,l8,96,3000.0
l0,l8,97,3000.0
l0,l8,98,3000.0
l0,l8,99,3000.0
l0,l12,0,3000.0
l0,l12,1,3000.0
l0,l12,2,3000.0
l0,l12,3,3000.0
l0,l12,4,3000.0
l0,l12,5,3000.0
l0,l12,6,3000.0
l0,l12,7,3000.0
l0,l12,8,3000.0
l0,l12,9,3000.0
l0,l12,10,3000.0
l0,l12,11,3000.0
l0,l12,12,3000.0
l0,l12,13,3000.0
l0,l12,14,3000.0
l0,l12,15,3000.0
l0,l12,16,3000.0
l0,l12,17,3000.0
l0,l12,18,3000.0
l0,l12,19,3000.0
l0,l12,20,3000.0
l0,l12,21,3000.0
l0,l12,22,3000.0
l0,l12,23,3000.0
l0,l12,24,3000.0
l0,l12,25,3000.0
l0,l12,26,3000.0
l0,l12,27,3000.0
l0,l12,28,3000.0
l0,l12,29,3000.0
l0,l12,30,3000.0
l0,l12,31,3000.0
l0,l12,32,3000.0
l0,l12,33,3000.0
l0,l12,34,3000.0
l0,l12,35,3000.0
l0,l12,36,3000.0
l0,l12,37,3000.0
l0,l12,38,3000.0
l0,l12,39,3000.0
l0,l12,40,3000.0
l0,l12,41,3000.0
l0,l12,42,3000.0
l0,l12,43,3000.0
l0,l12,44,3000.0
l0,l12,45,3000.0
l0,l12,46,3000.0
l0,l12,47,3000.0
l0,l12,48,3000.0
l0,l12,49,3000.0
l0,l12,50,3000.0
l0,l12,51,3000.0
l0,l12,52,3000.0
l0,l12,53,3000.0
l0,l12,54,3000.0
l0,l12,55,3000.0
l0,l12,56,3000.0
l0,l12,57,3000.0
l0,l12,58,3000.0
l0,l12,59,3000.0
l0,l12,60,3000.0
l0,l12,61,3000.0
l0,l12,62,3000.0
l0,l12,63,3000.0
l0,l12,64,3000.0
l0,l12,65,3000.0
l0,l12,66,3000.0
l0,l12,67,3000.0
l0,l12,68,3000.0
l0,l12,69,3000.0
l0,l12,70,3000.0
l0,l12,71,3000.0
l0,l12,72,3000.0
l0,l12,73,3000.0
l0,l12,74,3000.0
l0,l12,75,3000.0
l0,l12,76,3000.0
l0,l12,77,3000.0
l0,l12,78,3000.0
l0,l12,79,3000.0
l0,l12,80,3000.0
l0,l12,81,3000.0
l0,l12,82,3000.0
l0,l12,83,3000.0
l0,l12,84,3000.0
l0,l12,85,3000.0
l0,l12,86,3000.0
l0,l12,87,3000.0
l0,l12,88,3000.0
l0,l12,89,3000.0
l0,l12,90,3000.0
l0,l12,91,3000.0
l0,l12,92,3000.0
l0,l12,93,3000.0
l0,l12,94,3000.0
l0,l12,95,3000.0
l0,l12,96,3000.0
l0,l12,97,3000.0
l0,l12,98,3000.0
l0,l12,99,3000.0
l1,l0,0,2000.0
l1,l0,2,2812.5
l1,l0,3,4000.0
l1,l0,4,1250.0
l1,l0,5,4000.0
l1,l0,6,4000.0
l1,l0,7,4000.0
l1,l0,8,4000.0
l1,l0,9,4000.0
l1,l0,11,4000.0
l1,l0,13,4000.0
l1,l0,14,4000.0
l1,l0,15,1250.0
l1,l0,16,4000.0
l1,l0,17,1250.0
l1,l0,18,500.0
l1,l0,19,1812.5
l1,l0,20,4000.0
l1,l0,21,1250.0
l1,l0,22,4000.0
l1,l0,24,2500.0
l1,l0,25,4000.0
l1,l0,26,4000.0
l1,l0,27,4000.0
l1,l0,28,4000.0
l1,l0,29,4000.0
l1,l0,30,4000.0
l1,l0,31,2500.0
l1,l0,32,4000.0
l1,l0,33,4000.0
l1,l0,34,4000.0
l1,l0,35,4000.0
l1,l0,36,2000.0
l1,l0,37,4000.0
l1,l0,39,4000.0
l1,l0,40,4000.0
l1,l0,41,4000.0
l1,l0,42,4000.0
l1,l0,43,4000.0
l1,l0,44,1250.0
l1,l0,45,4000.0
l1,l0,46,4000.0
l1,l0,47,4000.0
l1,l0,48,2000.0
l1,l0,50,437.5
l1,l0,51,4000.0
l1,l0,52,4000.0
l1,l0,53,4000.0
l1,l0,54,4000.0
l1,l0,55,4000.0
l1,l0,56,4000.0
l1,l0,57,4000.0
l1,l0,58,4000.0
l1,l0,59,3500.0
l1,l0,60,4000.0
l1,l0,61,1937.5
l1,l0,62,4000.0
l1,l0,63,4000.0
l1,l0,64,4000.0
l1,l0,65,1250.0
l1,l0,66,4000.0
l1,l0,67,4000.0
l1,l0,68,4000.0
l1,l0,69,4000.0
l1,l0,70,4000.0
l1,l0,72,4000.0
l1,l0,73,4000.0
l1,l0,74,4000.0
l1,l0,75,2000.0
l1,l0,76,437.5
l1,l0,77,1250.0
l1,l0,79,4000.0
l1,l0,80,2812.5
l1,l0,81,4000.0
l1,l0,82,4000.0
l1,l0,83,4000.0
l1,l0,84,4000.0
l1,l0,85,4000.0
l1,l0,86,4000.0
l1,l0,87,4000.0
l1,l0,88,4000.0
l1,l0,89,4000.0
l1,l0,90,4000.0
l1,l0,91,4000.0
l1,l0,92,4000.0
l1,l0,93,1000.0
l1,l0,94,4000.0
l1,l0,95,4000.0
l1,l0,96,1250.0
l1,l0,97,1250.0
l1,l0,98,4000.0
l1,l0,99,4000.0
l1,l2,0,4000.0
l1,l2,1,4000.0
l1,l2,2,4000.0
l1,l2,3,4000.0
l1,l2,4,4000.0
l1,l2,5,250.0
l1,l2,6,4000.0
l1,l2,7,4000.0
l1,l2,8,250.0
l1,l2,9,1812.5
l1,l2,10,4000.0
l1,l2,12,4000.0
l1,l2,14,3437.5
l1,l2,15,4000.0
l1,l2,16,1812.5
l1,l2,17,4000.0
l1,l2,20,250.0
l1,l2,21,4000.0
l1,l2,22,1000.0
l1,l2,23,4000.0
l1,l2,25,312.5
l1,l2,27,1000.0
l1,l2,28,1812.5
l1,l2,29,3437.5
l1,l2,30,1000.0
l1,l2,33,1000.0
l1,l2,35,3437.5
l1,l2,36,4000.0
l1,l2,37,1000.0
l1,l2,38,4000.0
l1,l2,41,312.5
l1,l2,42,2750.0
l1,l2,43,1000.0
l1,l2,44,4000.0
l1,l2,45,1000.0
l1,l2,46,1000.0
l1,l2,47,4000.0
l1,l2,48,4000.0
l1,l2,49,4000.0
l1,l2,50,4000.0
l1,l2,51,250.0
l1,l2,52,4000.0
l1,l2,53,4000.0
l1,l2,55,4000.0
l1,l2,57,3437.5
l1,l2,58,1000.0
l1,l2,59,4000.0
l1,l2,60,1000.0
l1,l2,62,1000.0
l1,l2,63,4000.0
l1,l2,64,4000.0
l1,l2,65,4000.0
l1,l2,66,4000.0
l1,l2,68,1000.0
l1,l2,70,1000.0
l1,l2,71,4000.0
l1,l2,72,1000.0
l1,l2,73,4000.0
l1,l2,74,4000.0
l1,l2,75,3000.0
l1,l2,76,3000.0
l1,l2,77,4000.0
l1,l2,78,3000.0
l1,l2,79,1000.0
l1,l2,80,4000.0
l1,l2,81,4000.0
l1,l2,82,4000.0
l1,l2,83,1000.0
l1,l2,84,4000.0
l1,l2,85,1000.0
l1,l2,87,1000.0
l1,l2,88,3437.5
l1,l2,89,1000.0
l1,l2,90,3437.5
l1,l2,91,1000.0
l1,l2,93,4000.0
l1,l2,94,4000.0
l1,l2,95,250.0
l1,l2,96,4000.0
l1,l2,97,4000.0
l1,l2,98,250.0
l1,l2,99,1812.5
l1,l3,1,4000.0
l1,l3,18,4000.0
l2,l0,0,4000.0
l2,l0,1,4000.0
l2,l0,2,4000.0
l2,l0,3,4000.0
l2,l0,4,4000.0
l2,l0,5,1250.0
l2,l0,6,4000.0
l2,l0,7,4000.0
l2,l0,8,4000.0
l2,l0,10,4000.0
l2,l0,11,4000.0
l2,l0,12,4000.0
l2,l0,14,3562.5
l2,l0,15,4000.0
l2,l0,17,4000.0
l2,l0,18,1500.0
l2,l0,19,4000.0
l2,l0,20,4000.0
l2,l0,21,4000.0
l2,l0,23,4000.0
l2,l0,24,4000.0
l2,l0,25,3312.5
l2,l0,26,4000.0
l2,l0,27,4000.0
l2,l0,29,437.5
l2,l0,30,1250.0
l2,l0,31,4000.0
l2,l0,32,1812.5
l2,l0,33,3750.0
l2,l0,34,1000.0
l2,l0,35,2000.0
l2,l0,36,4000.0
l2,l0,37,437.5
l2,l0,38,4000.0
l2,l0,39,4000.0
