location,technology,time_step,production
l3,Gas,22,15000.0
l3,Gas,23,14000.0
l3,Gas,24,15000.0
l3,Gas,25,11875.0
l3,Gas,26,15000.0
l3,Gas,27,15000.0
l3,Gas,28,15000.0
l3,Gas,29,15000.0
l3,Gas,30,15000.0
l3,Gas,31,15000.0
l3,Gas,32,14812.5
l3,Gas,33,15000.0
l3,Gas,34,14000.0
l3,Gas,35,12562.5
l3,Gas,36,15000.0
l3,Gas,37,15000.0
l3,Gas,38,14000.0
l3,Gas,39,14000.0
l3,Gas,40,15000.0
l3,Gas,41,14312.5
l3,Gas,42,15000.0
l3,Gas,43,15000.0
l3,Gas,44,15000.0
l3,Gas,45,15000.0
l3,Gas,46,15000.0
l3,Gas,47,15000.0
l3,Gas,48,15000.0
l3,Gas,49,15000.0
l3,Gas,50,15000.0
l3,Gas,51,15000.0
l3,Gas,52,15000.0
l3,Gas,53,15000.0
l3,Gas,54,15000.0
l3,Gas,55,15000.0
l3,Gas,56,15000.0
l3,Gas,57,15000.0
l3,Gas,58,15000.0
l3,Gas,59,15000.0
l3,Gas,60,15000.0
l3,Gas,61,15000.0
l3,Gas,62,15000.0
l3,Gas,63,15000.0
l3,Gas,64,15000.0
l3,Gas,65,15000.0
l3,Gas,66,15000.0
l3,Gas,67,11312.5
l3,Gas,68,15000.0
l3,Gas,69,11562.5
l3,Gas,70,15000.0
l3,Gas,71,13375.0
l3,Gas,72,15000.0
l3,Gas,73,15000.0
l3,Gas,74,15000.0
l3,Gas,75,15000.0
l3,Gas,76,15000.0
l3,Gas,77,15000.0
l3,Gas,78,15000.0
l3,Gas,79,15000.0
l3,Gas,80,15000.0
l3,Gas,81,15000.0
l3,Gas,82,15000.0
l3,Gas,83,15000.0
l3,Gas,84,15000.0
l3,Gas,85,15000.0
l3,Gas,86,15000.0
l3,Gas,87,15000.0
l3,Gas,88,15000.0
l3,Gas,89,15000.0
l3,Gas,90,15000.0
l3,Gas,91,15000.0
l3,Gas,92,14000.0
l3,Gas,93,14000.0
l3,Gas,94,15000.0
l3,Gas,95,15000.0
l3,Gas,96,15000.0
l3,Gas,97,15000.0
l3,Gas,98,15000.0
l3,Gas,99,15000.0
l6,Gas,0,4250.0
l6,Gas,1,6000.0
l6,Gas,2,3437.5
l6,Gas,3,2062.5
l6,Gas,7,2062.5
l6,Gas,8,687.5
l6,Gas,9,5187.5
l6,Gas,10,6000.0
l6,Gas,11,1500.0
l6,Gas,12,6000.0
l6,Gas,13,4500.0
l6,Gas,15,250.0
l6,Gas,16,4750.0
l6,Gas,17,2750.0
l6,Gas,18,6000.0
l6,Gas,19,1500.0
l6,Gas,22,4500.0
l6,Gas,23,6000.0
l6,Gas,24,1500.0
l6,Gas,28,4500.0
l6,Gas,29,812.5
l6,Gas,31,1000.0
l6,Gas,32,5500.0
l6,Gas,33,1500.0
l6,Gas,34,6000.0
l6,Gas,35,6000.0
l6,Gas,36,6000.0
l6,Gas,37,1500.0
l6,Gas,38,4562.5
l6,Gas,39,4500.0
l6,Gas,43,4500.0
l6,Gas,46,1500.0
l6,Gas,47,1500.0
l6,Gas,48,6000.0
l6,Gas,49,6000.0
l6,Gas,50,1500.0
l6,Gas,51,2750.0
l6,Gas,52,687.5
l6,Gas,53,3562.5
l6,Gas,55,812.5
l6,Gas,57,4500.0
l6,Gas,59,4500.0
l6,Gas,60,4500.0
l6,Gas,67,1000.0
l6,Gas,71,4500.0
l6,Gas,74,1500.0
l6,Gas,75,6000.0
l6,Gas,76,1500.0
l6,Gas,78,4500.0
l6,Gas,80,4500.0
l6,Gas,82,2875.0
l6,Gas,83,3250.0
l6,Gas,85,3937.5
l6,Gas,87,4500.0
l6,Gas,90,812.5
l6,Gas,92,4250.0
l6,Gas,93,4500.0
l6,Gas,95,2062.5
l6,Gas,97,4500.0
l6,Gas,99,2437.5
l7,Gas,0,14000.0
l7,Gas,1,15000.0
l7,Gas,2,14000.0
l7,Gas,3,15000.0
l7,Gas,4,15000.0
l7,Gas,5,15000.0
l7,Gas,6,15000.0
l7,Gas,7,15000.0
l7,Gas,8,15000.0
l7,Gas,9,15000.0
l7,Gas,10,15000.0
l7,Gas,11,15000.0
l7,Gas,12,15000.0
l7,Gas,13,15000.0
l7,Gas,14,15000.0
l7,Gas,15,15000.0
l7,Gas,16,15000.0
l7,Gas,17,15000.0
l7,Gas,18,15000.0
l7,Gas,19,15000.0
l7,Gas,20,15000.0
l7,Gas,21,15000.0
l7,Gas,22,15000.0
l7,Gas,23,15000.0
l7,Gas,24,14000.0
l7,Gas,25,15000.0
l7,Gas,26,15000.0
l7,Gas,27,15000.0
l7,Gas,28,15000.0
l7,Gas,29,15000.0
l7,Gas,30,15000.0
l7,Gas,31,14000.0
l7,Gas,32,15000.0
l7,Gas,33,15000.0
l7,Gas,34,15000.0
l7,Gas,35,15000.0
l7,Gas,36,15000.0
l7,Gas,37,15000.0
l7,Gas,38,15000.0
l7,Gas,39,14000.0
l7,Gas,40,15000.0
l7,Gas,41,15000.0
l7,Gas,42,15000.0
l7,Gas,43,15000.0
l7,Gas,44,15000.0
l7,Gas,45,15000.0
l7,Gas,46,15000.0
l7,Gas,47,15000.0
l7,Gas,48,15000.0
l7,Gas,49,15000.0
l7,Gas,50,15000.0
l7,Gas,51,15000.0
l7,Gas,52,15000.0
l7,Gas,53,15000.0
l7,Gas,54,15000.0
l7,Gas,55,15000.0
l7,Gas,56,15000.0
l7,Gas,57,10500.0
l7,Gas,58,15000.0
l7,Gas,59,15000.0
l7,Gas,60,15000.0
l7,Gas,61,15000.0
l7,Gas,62,15000.0
l7,Gas,63,15000.0
l7,Gas,64,15000.0
l7,Gas,65,15000.0
l7,Gas,66,15000.0
l7,Gas,67,14000.0
l7,Gas,68,15000.0
l7,Gas,69,15000.0
l7,Gas,70,15000.0
l7,Gas,71,15000.0
l7,Gas,72,15000.0
l7,Gas,73,15000.0
l7,Gas,74,15000.0
l7,Gas,75,15000.0
l7,Gas,76,15000.0
l7,Gas,77,15000.0
l7,Gas,78,15000.0
l7,Gas,79,15000.0
l7,Gas,80,15000.0
l7,Gas,81,15000.0
l7,Gas,82,15000.0
l7,Gas,83,15000.0
l7,Gas,84,15000.0
l7,Gas,85,15000.0
l7,Gas,86,15000.0
l7,Gas,87,15000.0
l7,Gas,88,15000.0
l7,Gas,89,15000.0
l7,Gas,90,15000.0
l7,Gas,91,15000.0
l7,Gas,92,15000.0
l7,Gas,93,15000.0
l7,Gas,94,15000.0
l7,Gas,95,15000.0
l7,Gas,96,15000.0
l7,Gas,97,12562.5
l7,Gas,98,15000.0
l7,Gas,99,15000.0
l11,Gas,0,9000.0
l11,Gas,1,9000.0
l11,Gas,2,9000.0
l11,Gas,3,9000.0
l11,Gas,4,9000.0
l11,Gas,5,9000.0
l11,Gas,6,9000.0
l11,Gas,7,9000.0
l11,Gas,8,9000.0
l11,Gas,9,9000.0
l11,Gas,10,9000.0
l11,Gas,11,9000.0
l11,Gas,12,9000.0
l11,Gas,13,9000.0
l11,Gas,14,9000.0
l11,Gas,15,9000.0
l11,Gas,16,9000.0
l11,Gas,17,9000.0
l11,Gas,18,9000.0
l11,Gas,19,9000.0
l11,Gas,20,9000.0
l11,Gas,21,9000.0
l11,Gas,22,9000.0
